Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
03/01/2019,Bronx,B02,21203,11531,6704,3347,6607,18428
03/01/2019,Bronx,B03,40628,21829,12909,6606,11831,33692
03/01/2019,Bronx,B04,55067,30205,16539,8220,20513,49003
03/01/2019,Bronx,B05,53602,29021,16601,8401,18204,45855
03/01/2019,Bronx,B06,37803,20308,13834,6715,10605,32493
03/01/2019,Bronx,B07,44357,25149,12601,6540,18255,41320
03/01/2019,Bronx,B08,15705,9398,3131,1618,8481,16352
03/01/2019,Bronx,B09,50759,27846,13331,6594,20982,46869
03/01/2019,Bronx,B10,17192,10490,3621,1877,8777,17193
03/01/2019,Bronx,B11,23107,13461,5568,2999,12189,24649
03/01/2019,Bronx,B12,36142,19757,12215,6029,15687,36293
03/01/2019,Brooklyn,K01,50622,19950,6619,2482,30605,45093
03/01/2019,Brooklyn,K02,13107,8806,2911,1866,6563,12826
03/01/2019,Brooklyn,K03,42916,22991,9683,5020,18823,36799
03/01/2019,Brooklyn,K04,23579,14304,4376,2370,13497,23719
03/01/2019,Brooklyn,K05,61594,34850,13929,7234,24007,49825
03/01/2019,Brooklyn,K06,9712,6488,1862,1157,5099,9743
03/01/2019,Brooklyn,K07,20782,12182,3041,1826,20690,29192
03/01/2019,Brooklyn,K08,19772,12636,4984,2978,9744,19256
03/01/2019,Brooklyn,K09,19898,12076,3932,2333,12763,21021
03/01/2019,Brooklyn,K10,16441,9635,1791,1168,15016,21491
03/01/2019,Brooklyn,K11,34870,20563,2981,1818,27657,42009
03/01/2019,Brooklyn,K12,59370,19344,9770,2400,42093,59745
03/01/2019,Brooklyn,K13,31388,20782,4624,2296,14554,31794
03/01/2019,Brooklyn,K14,29935,17531,4289,2454,21219,33572
03/01/2019,Brooklyn,K15,27338,16964,3035,1684,18438,30790
03/01/2019,Brooklyn,K16,36292,20171,11689,5707,11076,29304
03/01/2019,Brooklyn,K17,29409,18576,7317,4298,18443,31529
03/01/2019,Brooklyn,K18,27326,16368,5287,2843,17638,29289
03/01/2019,Manhattan,M01,2178,1749,737,623,1516,2979
03/01/2019,Manhattan,M02,2853,2306,274,263,2757,4109
03/01/2019,Manhattan,M03,35791,24382,5915,3976,22281,41205
03/01/2019,Manhattan,M04,11565,8657,2922,2098,5977,12668
03/01/2019,Manhattan,M05,5561,3803,3151,1784,1801,5903
03/01/2019,Manhattan,M06,5011,4359,981,893,3291,5902
03/01/2019,Manhattan,M07,16007,12027,3440,2385,8486,17263
